mid,name_romaji,district_id,dwellings,vacant,occupied,population,households,age_0_5,age_6_14,age_15_17,age_18_24,age_25_44,age_45_64,age_65_p,age_65p,workforce,jobs,mean_household_income_myen,gini,poverty_rate,single_households,elderly_alone,floor_m2,floor_per_capita,land_value_myen_per_sqm,rent_2ldk_kyen,vacancy_rate,accessibility,jobs_by_sector
kamikura-02,Shimo-ShiroKami-machi,kamikura,0,0,0,0,1,0.0146,0.0445,0.0301,0.066,0.2346,0.2398,0.3704,0.3939,0,0,4.5342,0.2985,0.1553,0,0,0,0.0,0.0389,39.251,0.2013,0.0605,
kamikura-03,Kita-TakeNaka-machi,kamikura,0,0,0,0,1,0.0204,0.0494,0.0322,0.071,0.2474,0.2514,0.3282,0.3329,0,0,5.0725,0.305,0.1415,0,0,0,0.0,0.0682,49.2594,0.1939,0.1152,
kamikura-04,Hon-MinatoKita-machi,kamikura,114,23,91,214,91,0.0174,0.0469,0.0311,0.0682,0.2406,0.245,0.3508,0.3652,134,0,4.7467,0.3011,0.1497,27,11,13765.9911,64.3271,0.0504,43.2008,0.1984,0.1014,
kamikura-05,TsuruUmi-machi,kamikura,5,1,4,9,4,0.02,0.0499,0.0314,0.069,0.2447,0.2463,0.3387,0.3508,6,0,4.69,0.3004,0.1503,1,0,476.6687,52.9632,0.0474,42.1473,0.1992,0.0552,
kamikura-06,Shiro-TaniNami-machi,kamikura,0,0,0,0,1,0.0165,0.0464,0.0306,0.0671,0.2382,0.2421,0.3592,0.3785,0,0,4.3816,0.2967,0.158,0,0,0,0.0,0.0305,36.4136,0.2034,0.045,
kamikura-07,Yū-IshiTsuru-machi,kamikura,0,0,0,0,1,0.0202,0.0501,0.0314,0.0692,0.2452,0.2465,0.3374,0.349,0,0,4.8797,0.3027,0.1461,0,0,0,0.0,0.0577,45.674,0.1966,0.0477,
shelf4-01,Aki-FuruHigashi-machi,shelf4,0,0,0,0,1,0.0301,0.06,0.0337,0.0747,0.2638,0.2585,0.2792,0.2754,0,0,4.6113,0.2995,0.149,0,0,0,0.0,0.0431,40.6835,0.2002,0.0088,
shelf4-02,Soto-MiyaTsuru-machi,shelf4,0,0,0,0,1,0.0282,0.058,0.0333,0.0736,0.2601,0.2561,0.2907,0.2894,0,0,4.5483,0.2987,0.151,0,0,0,0.0,0.0396,39.5128,0.2011,0.022,
rural_north-01,Minami-HigashiTetsu-machi,rural_north,0,0,0,0,1,0.0158,0.0457,0.0304,0.0667,0.2369,0.2412,0.3632,0.384,0,0,4.6249,0.2996,0.153,0,0,0,0.0,0.0438,40.9377,0.2,0.0086,
rural_north-02,Ko-NakaNaga-machi,rural_north,0,0,0,0,1,0.0158,0.0457,0.0304,0.0667,0.2369,0.2412,0.3633,0.384,0,0,4.6077,0.2994,0.1533,0,0,0,0.0,0.0429,40.6178,0.2003,0.0138,
rural_north-03,Shin-SakuraIkari-machi,rural_north,0,0,0,0,1,0.0177,0.0476,0.0309,0.0677,0.2405,0.2435,0.3521,0.3687,0,0,4.5439,0.2987,0.1542,0,0,0,0.0,0.0394,39.43,0.2012,0.0432,
rural_north-04,Aki-SakaYama-machi,rural_north,0,0,0,0,1,0.017,0.0469,0.0307,0.0674,0.2392,0.2427,0.3561,0.3742,0,0,4.6669,0.3001,0.1517,0,0,0,0.0,0.0461,41.7184,0.1995,0.0045,
rural_north-05,Aki-AmeIshi-machi,rural_north,0,0,0,0,1,0.0164,0.0463,0.0306,0.067,0.2381,0.242,0.3596,0.3789,0,0,4.6914,0.3004,0.1513,0,0,0,0.0,0.0474,42.1738,0.1991,0.024,
rural_north-06,Shin-HigashiAshi-machi,rural_north,0,0,0,0,1,0.014,0.0435,0.0299,0.0654,0.2328,0.2385,0.3758,0.4017,0,0,4.6387,0.2998,0.1533,0,0,0,0.0,0.0446,41.193,0.1999,0.0212,
rural_north-07,Ō-MiyaSuzu-machi,rural_north,20,4,16,42,16,0.0185,0.0484,0.031,0.0682,0.242,0.2445,0.3473,0.3622,26,0,4.8534,0.3024,0.1472,5,2,2630.672,62.635,0.0563,45.1856,0.1969,0.068,
rural_west-01,Minami-TakeHara-machi,rural_west,0,0,0,0,1,0.0167,0.0466,0.0306,0.0672,0.2385,0.2423,0.3582,0.377,0,0,4.5457,0.2987,0.1544,0,0,0,0.0,0.0395,39.4632,0.2011,0.003,
rural_west-02,UmiHoshi-machi,rural_west,0,0,0,0,1,0.014,0.0437,0.0299,0.0655,0.233,0.2387,0.3751,0.4007,0,0,4.6266,0.2997,0.1535,0,0,0,0.0,0.0439,40.968,0.2,0.0217,
rural_west-03,Soto-MinamiTake-machi,rural_west,0,0,0,0,1,0.0151,0.045,0.0303,0.0663,0.2356,0.2404,0.3673,0.3896,0,0,4.7713,0.3014,0.15,0,0,0,0.0,0.0518,43.6592,0.1981,0.0078,
rural_west-04,Higashi-SakuraFuru-machi,rural_west,0,0,0,0,1,0.0191,0.049,0.0312,0.0685,0.243,0.2452,0.3441,0.3579,0,0,4.933,0.3033,0.1453,0,0,0,0.0,0.0606,46.665,0.1958,0.0627,
rural_west-05,Shiro-ShioTsuki-machi,rural_west,0,0,0,0,1,0.0139,0.0421,0.0296,0.0646,0.2299,0.2365,0.3835,0.4134,0,0,4.6841,0.3003,0.1527,0,0,0,0.0,0.047,42.0373,0.1992,0.0069,
rural_west-06,AmeShima-machi,rural_west,0,0,0,0,1,0.0176,0.0475,0.0308,0.0677,0.2402,0.2433,0.3529,0.3698,0,0,4.5703,0.299,0.1536,0,0,0,0.0,0.0408,39.9217,0.2008,0.0124,
rural_south-01,UmiTani-machi,rural_south,0,0,0,0,1,0.014,0.0436,0.0299,0.0655,0.2329,0.2386,0.3756,0.4014,0,0,4.7509,0.3011,0.1508,0,0,0,0.0,0.0507,43.28,0.1983,0.0187,
rural_south-02,Yū-HigashiKura-machi,rural_south,9,2,7,16,7,0.0198,0.0497,0.0313,0.0689,0.2444,0.246,0.34,0.3524,10,0,4.8092,0.3018,0.1478,2,1,1197.4101,74.8381,0.0539,44.3642,0.1975,0.0672,
rural_south-03,Shin-ShioTen-machi,rural_south,2,0,2,5,2,0.0165,0.0464,0.0306,0.0671,0.2382,0.2421,0.3592,0.3783,3,0,4.5582,0.2988,0.1542,1,0,352.0006,70.4001,0.0402,39.6971,0.201,0.0273,
rural_south-04,Shiro-AoKita-machi,rural_south,4106,827,3279,7484,3279,0.0197,0.0495,0.0313,0.0688,0.2441,0.2459,0.3407,0.3534,4724,0,4.5222,0.2984,0.1541,984,380,484919.0351,64.7941,0.0382,39.0275,0.2014,0.06,
rural_south-05,TaniKawa-machi,rural_south,0,0,0,0,1,0.0148,0.0393,0.032,0.0704,0.2361,0.2521,0.3552,0.3592,0,0,4.9281,0.3033,0.146,0,0,0,0.0,0.0603,46.5741,0.1959,0.1597,
rural_south-06,Shiro-SakuraAme-machi,rural_south,0,0,0,0,1,0.0192,0.0491,0.0312,0.0686,0.2433,0.2453,0.3433,0.3568,0,0,4.4384,0.2974,0.156,0,0,0,0.0,0.0336,37.4697,0.2026,0.0107,
rural_east-01,Ao-HigashiMiya-machi,rural_east,0,0,0,0,1,0.0159,0.0458,0.0305,0.0668,0.2372,0.2414,0.3624,0.3829,0,0,4.7749,0.3014,0.1497,0,0,0,0.0,0.052,43.7251,0.198,0.0166,
rural_east-02,IshiKawa-machi,rural_east,0,0,0,0,1,0.019,0.0489,0.0312,0.0685,0.243,0.2451,0.3443,0.3582,0,0,4.7631,0.3013,0.149,0,0,0,0.0,0.0513,43.5066,0.1982,0.0063,
rural_east-03,Kurenai-TakaAkebono-machi,rural_east,0,0,0,0,1,0.0155,0.0454,0.0303,0.0665,0.2363,0.2408,0.3653,0.3868,0,0,4.627,0.2997,0.153,0,0,0,0.0,0.0439,40.9766,0.2,0.0144,
rural_east-04,Kurenai-SakaShio-machi,rural_east,0,0,0,0,1,0.0178,0.0477,0.0309,0.0678,0.2406,0.2436,0.3516,0.3681,0,0,4.8347,0.3022,0.1478,0,0,0,0.0,0.0552,44.8381,0.1972,0.0164,
rural_east-05,Haru-KiShiro-machi,rural_east,0,0,0,0,1,0.014,0.043,0.0298,0.0651,0.2317,0.2378,0.3786,0.406,0,0,4.4975,0.2981,0.1565,0,0,0,0.0,0.0369,38.5676,0.2018,0.0127,
rural_east-06,Ao-TenMatsu-machi,rural_east,0,0,0,0,1,0.0174,0.0472,0.0308,0.0675,0.2398,0.2431,0.3542,0.3715,0,0,4.4923,0.298,0.1554,0,0,0,0.0,0.0366,38.4714,0.2019,0.0376,
rural_east-07,Shin-TenAme-machi,rural_east,0,0,0,0,1,0.0167,0.0466,0.0306,0.0672,0.2386,0.2423,0.3578,0.3765,0,0,4.6015,0.2994,0.1532,0,0,0,0.0,0.0425,40.5025,0.2004,0.024,
rural_east-08,Midori-TakaSakura-machi,rural_east,0,0,0,0,1,0.0189,0.0488,0.0311,0.0684,0.2428,0.245,0.3448,0.3589,0,0,4.6257,0.2996,0.152,0,0,0,0.0,0.0438,40.9518,0.2,0.0409,
